Tweet,Emotion
Kis kis ka aadha kilo khoon bhdd gya hai ?? Hit like,Neutral
Govt kya kr rhi h ???,Neutral
Lgta hai celeb bn gay jo,Neutral
Nice video please mujhe give away kare,Happy
"opening of lockdowns, people on streets, a few handshakes might be reminiscent of earlier sense of comfort but theres a lot of wisdom in this urdu couplet yahi mod kaat ke manzil ka aks ubhrega, isi jagah magar imkaan-e-haadsa hai bohot.",Neutral
"THIS IS THE BEST CHANNEL EVER . MOQTASAR O AHAM NUKAAT AUR ANDAZ E BAYAN ,ABTAK KA BAHOT HE SHAANDAAR O JAANDAAR URDU CHANNEL HAI. KEEP IT UP N JAZAKALLAHU KHAIRAH.",Happy
sir maza aa gaya aaj ke show me aise hi chahe koi bhi party galat kare unki bajate rahiye,Happy
Jhooth hai mamla kuch or hi niklega,Neutral
Big Boss chahte hai ki..... Tune in at PM tonight for a new task! #Lockdown4,Neutral
Oho uncle baat yeh hai k mainy nhi kiya mjy lga k shayid apny yani uncle ahaan ny kiya hai,Neutral
Amzaing hy bro or kafi interesting bi ke is tarhan ke log bi hain Dunya ma... bhai apse kb se aik request kr raha hu plz make a video on Holocaust lots of love for you from Azad Kashmir,Happy
mery pass hot pro available h just days use kia hy complete wrnty k sath sale krna h complete box complete all orgnal accessories location rawalpindi islamabad contect,Neutral
story of every city. Pm sb kahtay hai pakistan mai gurbat bohat hai par yahan log shopping kiay begair ar rahay hai,Neutral
Hahaha wasa turkey jakar eurtugul ka gar par jayangaa phr wo dakha daka nikalagaa tab hum Pakistanio aqal ayegi hum drama dak Raha thain,Happy
Koi baat Nahi I love my Pakistan,Happy
Kaha Kia mention apne dhikhaye muje Zara,Neutral
Default wala....keyboard setting main ja k language selecte kar lo,Neutral
hum sab to sabhi chahege ki sab kuch pehle jaisa ho Jay magr halat sahi nhi hai to jo bhi decision loge ap wo manay hoga,Neutral
Yesterday I buy this mobile.very bad performance Anybody want to parchaze pls contact me. Lahore finale warrinty start jan,Neutral
Nice song bhai aagay apna yo yo honey singh,Happy
Ye gaana to botal vodka se b aage jaayega Jo agree h plzzzzzz like kare,Neutral
"Sir ye ladka kaphi din se lapata hai bahut kosis ki par nahi mil pa Raha hai, police bhi khuch nahi Kar rahi kahti hai lockdown mein kaha dhoonde .2 machine home wale hai ,kuch kariye bahut meharwani",Sad
please aapke ads those band kar dijiye. PM ka address dekh paana impossible kar diya hai aapne. Aankhen kharaab ho chuki hain!,Neutral
"Sympathy card tuney like kaise Kiya. Maine vote Diya tere ko. Loved this line. But kal Sid Bhai Ka social issue for giving happiness to people ko promote karne Ka song aya. Aur yeh koi views ,likes etc ke liye Nahi tha but",Neutral
Bhai Jo aap ko un follow kry usy aap bhi kick Mar do jitny mrzi followers hon kya frk prta hy bas aysy hi log oqat bhol jaty han,Anger
"Auditia Pancholi is a Don. He has some links with Indian Ministers, isi liay Soraj Pancholi pakra nh gia.......",Neutral
Congratulations Sir....Bdi pyari dikh rhi hai.,Happy
Daloo isko jail mein,Neutral
Fuckboi is telling me koi lockdown nahi reh gaya hai. You can come very safely. Ill keep you away from everyone. Matlab Kuch bhi? #StayHomeStaySafe,Anger
Jafarabad Main Bazarain Khul Gai ll VSH NEWS Report From Jafarabad via,Neutral
G many ap sy kuch pucha tha please help me,Neutral
#Declare_K_Result_Yogiji Sir ab to case file bhi ho gaya hai ab to result nikale Please please,Neutral
Hahahahaha garit name ke chezz nahi ha tum logo ma china sa itna drta ho wo ap ke zamin ma guss aia or tum log kuch b nahi kr saka hahahahahahahahah,Happy
Best phone in this price. Good sound and call quality. MAH battery k baawajood bhi size bahat shota he aur torch bhi bahat ashi he. Software bhi quick he. Really nice phone by look,Happy
Yo yo Ke gaane kis kisko acche lagte Thoko like,Neutral
"Nai bhai abi ni mri, q marny pr tuly hue ho",Neutral
Video dekhne se phle comment kar rha hu ...king of songs... #Yo Yo,Neutral
U Bravo ap kamal ho,Happy
Honey Singh ke liye Ek like toh bnta hai,Neutral
Nice bhai,Neutral
Bhai mera bhi channel subscribe Kar do my channel name is harsh prajapati Kumar,Neutral
Follow back koi cheez hoti hai kya?,Neutral
Isko dekho daily punting karta hai,Neutral
"Yo yo ie back Aby Kyun Aise ghatia tracks pr paise waste kr rha hai, Mtlb aaj taq ka Sbse ghatia song sun yeh maine tumhara, waise b International Villagers k baad tumhe Sunna he bandh kr diya tha socha is Bar kuch ayega pr aya kya Mehngi Tatti",Anger
Koi bhai honor x sale krna chahta ho black colour mai under k /10 cond mai ya exchange krna chahta ho nova i k sth january ko liya tha /10 cond hai black colour mai to contact location rwp,Neutral
Bc Vews hang hogaya u tube pe....,Anger
Sare apne bags pack lo because yo yo king is back,Happy
Guru aap ke sare song suppar hit dehte hain or aage bhi rhe ge i am biggest fan i love you so much guru your my life aap bohot cutt ho,Happy
Sahi hai bhai apse sab ko kuch sikhna chahiye,Neutral
Ye wo Harami Missing persons ki list ma se kaisey nikaltey jo Baloch Ba parda Maa Behno ko Road pr le atey hai kis k pito tey jb baap DaDa Pakistan ma shamil hogaye to ye Harami kis chez k freedom k pechay lagey Hvey tey,Anger
Respectbal salman sir EX students ko be %rule k sath clear kia jaye ku ky onko be dgree mil jaye wo apni study continue rkh sky Apki mehrbnii,Neutral
Lol tu wait kar apna secret msg ka,Happy
: Ye Gujarat ke CM ne kya bola aaj meeting main PM ke sath.. ye bhi nahi bata rahe News vale,Neutral
Ap DM nai dekhti kia ma sms kia tha,Neutral
bare log ho hndle pic sb change krliya hai ab kahan hm ghareebo k tweets pe aty ho ap jee,Sad
Tiwari ji ya death ka numbers to Bata nahi pa raha hai jisma Sabsa bada jhol hai aur apna to insa wo sawal puch liya jiska jawab inka pass hai hi nahi blank hai sirf twitter per or news channel per active hai ya.,Anger
Sir ye bhi ek zehad hee hai,Neutral
. yo yo is back Party toh banti h...,Neutral
best song bhai,Happy
Array Bhai woh Muslim thi and she can not see them drinking wine or rum ( actor no ),Neutral
p8 muhjy chaheye tk phone no,Neutral
Humary mulk main hamysha stars k sath asa hi hua ha. no value of talent.,Sad
Bhai aap weight loss kabuki kar rahe ho? We all want to see you back in swag,Neutral
Abhi bhii jawan ho kia..?,Neutral
aor wo srf members mukhtalif posts ka interview lete he jiske wajah se bht time lgta he final result announce krne mein inko ab members brhane chahye kch to reham kre yahan ke students pr. SST Female ke interviews ke lye in logo ne mahine lga diye the.,Neutral
I want to buy Qmobile infinity E /10 with full warranty and accesories with Box. Bahawalpur se urgent contact karen,Neutral
"en wifi cash wale daily interest bdha bdha ke message kar rahe hai, enka kuch ho sakta hai ke bna dea, instalment bnane ke ph karta hoon to enke pH band aa rahe hai play store se yeh gayab hai lockdown or work close ke karan ki kist de pauga",Anger
"This is just a flue according to our Handsome PM , even his own party persons are grieving over his statements and decisions taken to curb covid. PM hume kya hum to paharion ma mazay la rahy hain .",Neutral
sir ap jaisa koi nehi is muskil waqt pe mazdoor bhaiyo ke liye ap bohut kuch kar rahe hai mozdoor bhai sab apne famly se mil pa rahe hai agar kisi ko hero banna hai to sir jaisa he bane love u sir,Happy
"Wo to hamen pata chal rha ha k wo kya kar raha ha lakn heerangi is baat pe ha k ap log kya kar rahy hain maswaye ""Press Conference"".",Anger
Halka halka almond oil se massage kia jai,Neutral
YA SUB KUCH PLAN KAYA HUWA HAI.NEW WORLD ORDER.,Neutral
Sir ji aap apna song kb release kroge?,Neutral
Shukr hai Arshad Sahib ap boly Wrna Sara media to es py khamosh hai Where is Justice ?,Happy
Yes us ki waja ye hai k honor play ka processor aik flagship processor hai kirin aur is main snapdragon hai...is liyea us ka antutu score lac plus hai...,Neutral
High court me case kre mil kr. .plz. Qesco ku sabak sika dai ap log. Ini ki waja se Aj Pakistan me Tasubi parsti se moulk ku noksaan paunch rha hai.,Neutral
"Chinese Army ka muqabla Akshay kumar, Ajay Devgan ya phir Suny Deol karen ge abhi tak Modi sahib faisla na kar saky. #laddakh",Neutral
: All support. Please do...Twitter ke Ghar mein ghus kar mar... Bhaut ho gaya shadow banning,Anger
Hahaha wakeel sahab mafad parsti hai bs . awam ki kis ko pari hai,Anger
Suar ki factory se nikla hua.... Najayaz mulla suar... Azadi chahiye tumhe..... Teri Ammi ki ch me hinduo me azadi di h.... Saur ke fauz kam nikal rhe h aajkal.... Aur teri bilbilaht se pta chal rha teri Ammi ke sath sath pure khandan ka punchar tu aur tera baap lgayega,Anger
Aggar kissi hillstation mein ho toh batana,Neutral
Agar koi infinix s3 beach raha hai ya Infinix smart2 GB ki sath exchange kar raga hair to contact me in Karachi,Neutral
"""Director ko ban'nay mein saal lagtay hain. Aap nay kuch diya hee nahi hai saal mein, siraf morning shows diye hain."" GUY IS SPITTING STRAIGHT FACTS",Anger
yo yo in the house baby ab aayga mzaa,Happy
"Ye Photo Naxal attack ki hai ki, Aur ye army ki dress nhi hai,ye CRPF(central reserves police force) ki photo hai, Dantewada district ki hai ye photo, Indian army and CRPF ki dress google pr check kr ke dekh le, Tu itney ko nhi maar payega kyo ki India tumhare part kr dega",Neutral
Song kis kisko pasand aaya like karo,Neutral
Yo Yo is back... ...Lage raho ...Dikha do sabhi ko ...Ki sher hamesha sher hi hota hai....,Happy
Kon kiskay ghar kiya kar raha tha ye report nai karna jmraan saab. Police FIR kis ke dar se nai kaat rahi ye report karna hai aur ispr bat krni hai. Ghlti jis ki bhi ho wo bad ki baat hai us se apka koi lena dena nai. Fair grounds par investigation k liye awaz uthana frz hai apka,Neutral
i want to sale vivo Yi aik din hua hay lainay hay kisi ko chahiye tu final Rs. only lahore,Neutral
ab Ham yah phone nahi le ge,Neutral
Bhai rula diya yrr. Waiting you for very long time,Sad
Usman buzadr ny aker to Imran khan k vision k mutabiq police ko pehly din hi siyasi influence sy azad ker diya tha IGs ko badel diya naya Pakistan me her idara azad pehr q FIR nai hoi Uper Imdar nichy kesy galt hosakta hy hy Wo to khata hy na khany deta hy Pehr ye kon khara hy?,Anger
"Excellent song, heart touching, kuch Purani baatein yaad aa gayi, pata nahi kis haal mein hogi, mere bina",Neutral
Kerjriwal sahab kiraye pe rehte hai unke bijlika bill per manth aaya hai aapne unke meter ke liye kuch nahi kiya mahine ka bill lag raha hai pani ka bill per manth dena padta hai kaise chalega kumse kum kiraya ka merter to do sir plz,Sad
"sir mai embroidery ka kaam karta hou dihadi pe, do month se kaam band hai hamare liye bhi kuch karo ji",Neutral
Foolish Planning by Center...Why Trians taking time to reach destination..why so much time to Deploy trains...they could have kept trains running with % occupancy..na koi Marta na Pareshan hota..Corona toh ab bhi lekar ja rahe hain yeh.,Anger
Mery paas qmobile lt0 gb h agar koi is k saath exchange krna chahta h to raabta kry,Neutral
bohat wait kara diya bro,Neutral
#PakWithJihadGang First of all we r with u sudhir sir. Ye log Jo India me rahe Kar or Pakistan ka agenda chalate hai yeni ko sleeper cells kahe te hai sab se pahale to ek ek sleeper cells Jo Pakistan se link hai un sab ko dhund Kar kahatam kiya jai coz they want to divide our nat,Anger
May yeh set Lena hay Faisalabad,Neutral
Corona top prize hai. Wahaan tak kitne pahunchte hain re baba,Neutral
Mein tmam logon ko kehta ke Bhai ka channel zaroor subscribe karen is jaisa Informative channel mein ne aaj tak naheen daikha Love U Big Bro,Happy
song tou acha hai but honey sing has gained a lot of weight,Neutral
Tum log apnay gireban men to jhaanko. saal sy jo foj k sath mil jatay log tmaray unko to sabaq sikhao. Kitna hold ha balochon ka balochistan par sb ko pta. Foj k control men sb. Udhar ki to uni tk foj k qabzay men. Baten kartay ho tum log. Apnay bandun ko to theak karlo,Anger
Guru ji koi Sad Song Nikalo Na Acha I m waiting ur sad romantic song,Neutral
I agree with tahir is set ki awaz bohat kum hay.,Neutral
Sahi hai but Harry up,Neutral
"Y ab lutnai m focus kr rhai h Covid toh inko smjh hi nhi aa rha h ki h kya y, bcz they know the plan but they dont knw the right time to execute the plan nd how shud be execute. Abhi toh bss bhaid chaal chl rhi h",Neutral
Mummy se manga krr sab pata hota hai,Neutral
Fantastic song guru bhai aap best h,Happy
"Sachaai spread karo.. and samajhne ki koshish karo ki kya aslu sach hai aur kya dikhawati sach.. Aaloo and sone wali machine was a propaganda to ruin the image of a leader of a political party, as he has never been part of any corruption. So the image needed to be tarnished..",Neutral
"Chalo mulaqat k liye aya toh sahi, Warna humy msg pr bta dya jata hai k ~ Istekhara nahi mila. Meri majbori samjho",Neutral
ab ayega maza yo yo is back all singers get out,Happy
Waise to teri baat feesad jhooti h Lekin agar Hypothetically sahi man bhi le...To tujhe kyu bura lagta h...Tu MUSLIM thdi h...Converted Pakjabi h....,Anger
Love u honey apko dekh k vapas dekh boht khushi ho rhi h love u so much,Neutral
hahahahaha apki qolfi jam sakti hay heheheheh what do u mean bro heehe,Happy
Food and shelter ka states ni kiya kuch Meri apni ankhodekhi hai.. ab sare states ni kar rahe to kya Kare ab Bol.. aur tere ko pata hai Bengal me gol gappe wale ghum rahe hai.. yeh news me ni.. mummy ne Bataya..,Neutral
Ma apnA q mobile w sale kar RHA ho only ma or safety ma ha Lahore skp sa Mara context no,Neutral
Yeh kaun sa language hai,Neutral
"Caption dekh kya use kia h sallnh,,hmesa sana or sid k bare mh galat captuon use krta h... yeh koi question h ki sana k followers fake h ya real.. Salla asim or himanshi k followers fake h kisi bhi site pr check kr la,, ispa bna newsssss.. or yehi caption use kr",Anger
abhi feb ko hum ny khali missile fire kiye thy to tmhara army cheif din tak nikla nahi tha bill sy,Neutral
*At a wedding * Mom:Chaye La do MeK Aunty1: Beta mery lye b Aunty2: TISSUE la do beta Aunty3: Mia Sahab ko b Bola Dena Aunty4: Mery main Sugar na Dalna Aunty5: Apny papa sy b pooch lena,Neutral
Bhai....din Raat Hindu Muslim karte rahte ho....Kuch aur bhi Kar lo....!!! Mazdur kat rhe hai....train se...bhukhe mar rhe hai....!!! In par bhi dhyan do,Neutral
koi madad karta hai ya nai ... Kabse help maang Ra hoon,Anger
Yar great boht achi hai... Bhai please live stream kiya karo jo chahta hai wo is comment ko like kare or reply kare take reality tv shaiad live stream karein please,Neutral
sirf title ho laga a tha PM ka naam k sath tou newspaper main ad day kar naam wazir e azam imran khan karwa laytay. Such a disappointment,Sad
"Sir, Railway minister ka twitter handle hai. Tag karna kyu bhul gye ?",Neutral
ifb- meri restriction lagi hui hai din tak mai follow back nahi de sakta.... magr rd day zaroor doon ga- tamam dost follow kren- shukriya,Neutral
bhai plzzzz plzzz ya request mein doosri dafa app sa kar raha hoon k plzzz plz plz make a video on sanjay dutt biography,Neutral
infinix note pro for sale. bike ka tire guzrny ki waja sy finger print sensor damage ho gya hai aur mobile halka sa tehra ho gya hai. jis bhai ko rawat rawalpindi or kallar syedan me lena ho rabta kry. price . aur baki info k liye,Neutral
Jitna socha utna acha ni tha fully dipressed,Anger
Sorry veerji no.yani last wala new h Lekin baki video Asif Ali TV se Lee gayi h Very good information,Neutral
"Jahil agr puri news dekhi to yaha bakaass nhi pelti hai , pehle puri news dekh ker ao",Anger
Koi btay ga k is ki battery timing ketni hai,Neutral
yeh wehem islam me nhi hai sab fazool hai dont be afraid of these,Neutral
Hello friends Me apna mobile samsung Galaxy A7 sale krona chahta ho compalet box says used,Neutral
": Lo jee gaye The most humble and respectful person of Pakistan, #PEMRAShouldBanAamirLiaquat",Anger
adnan bhai we are just boiling our blood. there is no one who can fight with current mafia. they are too too strong. they can destroy your whole family. opposition has been bled out no complaints. let this country drown.,Anger
Ap ne aj bhi hello friends kaha.. if you dont mind ... Assalam-u-alikum kehna acha rahay ga,Neutral
"sir ap nay jo ya video add ke mein kuch mein khod geya hon , i m same hotels and places",Neutral
Plz videos uplaod by great battle..sir jangy azeem par bi video banaye plzzz or purany back ground music k sath..thanks,Neutral
Such a visionary leader of Zee News. Kaafi dino se aisi win win news nahi suni thi.,Happy
Main wait kar raha tha kab College se ghar aaun....... And now I am enjoying this song. #Yo Yo Tsunami,Happy
Sir video her bar ki tarah great he sir what is background music name,Happy
Dear Friends Aslam o Alekum. dear friend koi bta skhta hai k infinix zero ka board kahan se mil sakhta hai? or ktny tk mily ga? thanks,Neutral
Bhai aap ko manjhi the mountain man par video banani chahie uski information aap ko google par mil jaygi and i make sure its super hit love story thank u,Neutral
Baap baap hoTa H beTe beTe hoTe Guru guru hoTa H or cheLe chele -Yo Yo is bacK sambhaL kE rhnE rE baWa.....yo yo honeYsingH,Happy
Nice way of getting famous... Us larki ka name samara tha or wo canada ki national thi,Neutral
Yaar meinay waqai khaya hua hai roh afza cheesecake mazaak lag raha hei,Neutral
"New video will be available on Monday (jisme hogi comedy, music)#justiceforcarry #Mforcarryminati aur Tik tok ki lenge hi is video For more videos visit on my YouTube channel. Link is given Below Do like and subscribe my channel Friends",Neutral
Yaar ek baat batao India ko aazadi to me hee mill gayee thee aap logon ko pata hee nahi chala Kamal hai Be a friend lock down ke baad zindagi aazadi se jiye hum aapke sath hai aur please hamari Lucknowi andaaz me ise boring life kehte hai thoda hansa Karo khush raho,Neutral
Yaar nahi hai mera. Shit,Neutral
ap ke videos jese or koi nahi banaskta he you are awesome,Happy
#PMModi sir pehle ke minute skip karne ka option h kya ?,Anger
"Highlet of this song...""Per mera wheight hogaya he thoda Baari""...Yo Yo",Neutral
apni maa ko bhejo hamara pm divorced ha Teri maa ki shadi krwa du imran khan k sath Teri maa ko chudwana kaa bara shok jo ha,Anger
BB ye abtak ki Sabse.mast video thi I want more same video,Happy
Bhumra o McGrath me bohat frq hai Abhi Shane warne sub sai best rate krta hai tou,Neutral
All ka option bhi hona chahiye,Neutral
I'm big fan of ur videos ma Sha Allah aap bhuth ache videos banatha ho,Happy
Ya video to #1 trending hit hai,Neutral
kisi k pas yeh dead mobile ho to contect karna mujy lcd aur touch chahye......,Neutral
#ArnabGoswami asking for a CBI enquiry makes me wonder how far the rot has reached. India kya hoga bhai yahan? #nationalist apne ko Bolte hai jo woh toe sare drama nikle. Now what?,Anger
Pew die pie teri bajegi ab because Yo Yo is come back,Happy
Views hang hogye bhaio Not even a single view count in min Plzzz share all laana hai trending #YoYooxide #YOYO,Neutral
Aap log private school teachers ka toh kuch kar nahi Rahe. Kuch socha yeh bs sb hawa hawi hai. Mai msg kar karka thak gaya hu,Anger
thanku soo much sir ..bht informative videoz share krty hn app zaberdast..mashaAllah jazzak Allah..,Happy
imran khan ki c ko na chorna.. vote ap ka hy.. we are with imran khan only,Neutral
Jinko salary nhi mil rhi h pvt job walo ko unka kya hoga ???..,Neutral
"Kitne zeros hote hain, ye to pata hi hoga unhe? Maine suna hai USD trillion ki economy ki baat bhi karte hain wo?",Neutral
bhai no comparison dono mere fav hai i will hear both song sana abhi abhi indistry main aayi hai or salman ti king hai salman will help her he like her so salnazz is best,Happy
": st Day of Easing #Lockdown in KP. These are the pics of Saddar Bazar #Peshawar. ""Kal Tak jin ko khaane peene ka gham th",Sad
That's why mei shadi nhi karna chahti.... Pta nhi woh banda keysa hoga.... Pta nhi shadi k bad life kysa ho gayega...... Bt unfortunately shadi toh karni padegi.... Btw this story inspired me also,Neutral
Bhai Mein Pehle Confuse Tha Ab Mujhe Bata Chal Kaye Thanks For Your Information.,Happy
: Asim ko koi kuch bolega toh kya asim fans sun lenge . Beta tumko jungle tak bhej kar aayenge . Aur kahin nahi jaane,Neutral
"""All of the above"" wala option de dete bhai",Neutral
Its k... apny etna hard work kiya hy or ye b hum sb k leye new knowledge hy.. Get well u soon..,Neutral
Lockdown bhadna chahiye par agar Delhi Police esko seriously palan karaye tabhi fayada hoga. Abhi tak jitne bhi Delhi mein cases increase huaye hai woh sab police ke nakame/failure hai kyonki woh sakhthi se lockdown ka palan nahin kara pa rahi hai. (1/2),Anger
Yr kitne or hit songs do gy humein ....la Jawab hote hain apk songs main punjabi songs boht kam sunti hu par apka har song sunti hu best of luck for your future,Neutral
km walk to maine bhi per day kiya hai.... Par bina khane pani ke continuously.... Not possible for me as of now!,Neutral
Aslam o alikom bhai ap apnay ap pe aik full video banao give me heart and like if you want.,Neutral
Aaine mein dimag ka gobar nazar aajata hai kya sir???,Neutral
Waited for a long time for this voice honey is the best ab daro mat hit like on this song and comment and share the song and make it #1 trending daro mat kyuinki mein nahin huin illuminati,Neutral
agr ksi bahi ko jacbabad mn oppo f5 lana chatha jo to rbta kty final warnty mont ko khatm hona full fresh new /10 daba pak he smj lo itna use ni ha,Neutral
very interesting story I like horror story and movies ye bhe achi video the ap ka batanay ka tarika buhat acha hai khush rahain ameen stay blessed,Happy
Madam peerni ka dhanda uzma baji sey b do haath aagey hai,Neutral
Bhai lockdown me kya umeed rkh rha hai,Neutral
Mery to dost waghera dhinchak dhinchak sunte yeh calm music kam logon ko smjh ata,Neutral
*Tiger is back with his swag* welcome back honey pazzi.....,Happy
Soi hi ni mai time pe kia sona,Neutral
make a vdo on sea view karachi sand..(matti) k ye kyun chmakti hy?,Neutral
: please chill yeh jaan tou aani jaani hai #COVIDIOTS,Neutral
Bas Ab Break Laga Lo xD,Neutral
Ab husband tu us ka beloved tha na tu agr usy kuch kahty tu divorce hojaty,Neutral
Ok to aap india me pakistan ki baat kar rahe hai. Koi baat nahi democracy hai.,Neutral
Sure jo civilian Doctor Corona ki jang main faut hoo jayee Kiya us ussay SHAHEED Kahna chaheiya k nai?,Neutral
HAHAHAHAHAHAHAHAHA JHOOT JU SIR CHAR KER BOLAY KARACHI MA TEMPRATURE YA HO GA THABI TU COAT OR MUFLAR PHAN RAKHA HA SAEED GHANI NA,Happy
Beta panwar rajput rana Kia? Rao hon Muslim rajput hon,Neutral
We visited there n some stories r unbelievable...kuch to baat h Kurdrat me,Happy
wahan dajjali taqat mojood hai.... kai jahaz wahan ghaib hony k bad sumandr k kinary per mily... un mei sy musafir ghiab thy or sara saman waisy he parra tha...for complete information read barmoda triangle and dajjal..,Neutral
Pehlay maine is channel ko subscribe Kia tha magar ab Meri all family members and friends sb ne ise subscribe kr liya h Nice video keep it up or plz yr like to kr dain meray comment ko plzzzzzzzzzz,Happy
After this song t series ko no.1 bnne se koi nai rok sakta #YOYOISBACK,Happy
"Finally Yo Yo, King of Music back Ab sabki Chutti",Happy
Song sunke Maza aa gaya aa,Happy
Yaar aap ko kisi news channel mein news caster hona chahye ur voice is too good Allah aapko khush rakhe,Happy
Lekin log bhi zra ahtiyat nae kar rae AB aj har market main be intaha rush tha,Neutral
Ye to koi kam ki bat nahi batai bade bhai apne....i knw i can understand ghar me ek jagah reh kr ajeeb ho rha hai..aisi hi chize aa sakti h dimag me....aisa krna bbai jaan..Ertugrul ghazi serial world top pe h..Uska ek jumla nasihat k tor pe fans ko share kre,Neutral
Teri life mai dena chahta hu mai dakhal meri EX se milti hai teri sakalawesome song YO YO KING HONEY SINGH,Happy
tum na sirf #SindhDushmanARY ho bulkay tum tou #Sindhio say dushmani nikal rahe ho tum jaisay gadaar ko koi haq nhi Sindh me rehne ka. #BycotARYNews #FakeNews After seeing you Jeeto Pakistan I changed my tv channel.,Anger
Iftariyan host kar kar kay mar jana hai mainy.,Neutral
wo actually kya hay na is bichary ko pata hi nahn ghairat naam ki koe cheez duniya me hote hay ya nahn,Neutral
Textile mills kab khulaen gi kamran sb kia textile walon k pait nahi?,Neutral
Hina g apne got kha aur imran Khan ne sahi kha Hy ke mot mere Allah Pak ke hath me Hy q ke ham Allah Pak ki ibdat krtehy aur Allah Pak se how dare ge ye bat to Hy ke corona se hifzat krni cahiye laike. Lock Don nhi hona cahiye ok,Neutral
#realmeseries abhi launch hu raha hai Facebook page per #Realmepro,Neutral
bhai jo socha tha vo nhi mila mja nhi bhai saab bilkul bhi saal baad kuch naye lane wale the but ye toh vo hi hai so it's not good,Sad
Apny ghar me yehi entertainment krti ho?,Neutral
I literally buy certain packs just for worlds and then find out if o dont like the concept of the pack itself and sim that lives there is forced to interact with mess,Neutral
Love you sir dil jeet liya aapne,Happy
Naaam kyun nahi leitay ho Ali bhai aap sai umeed nahi thi keh aap nai bhi plot leye hongay,Anger
"Han kitne bethe insan ghar main. Impossible even girls have started to go out for daily tasks. Ppl have started to grow with COVID now. Accustomed to this shit with masks, sensitization etc.",Neutral
Apki videos bohat interesting hoti hein keep it up,Happy
Dusre mumalik ki dastano p coments le ke khush hojate ho mgr kabi apne mulk man dekha h ghor se kya kya ho rha h....sory say bhai but it is truth,Anger
I wish the lockdown were in the winter season instead of summer. You naturally sleep more in the winter while the summer doesn't let you sleep till late even if you want. You have no choice than to wake up jab mummy subah fan off karke chali jaati hai! #lockdown #sleepgoal,Sad
"Sirf application bna kr faltu questions daalne se kuch nhi hoga,, Kam se kam questions toh ncert ke rakho, Maxm Bio ke questions out of ncert hai",Neutral
Iodine ki kami hai...,Neutral
Suna hai tu bhi toilet nahi banvaya ghar mai,Neutral
Huhhhhh isko abhi bhi sidfever hai.....pta nhi kab Ortega nasha madam ka,Neutral
name hi kaafi hai hit like for yo yo,Neutral
Allah hafiz bhai aapko bhi nice video Keep it up,Neutral
Bhi aap pahle king the or aal bhi king ho yo yo,Happy
"Issi confusion mein intermediate stoppage soch ke start to end book kiya and then cancelled,they charged %",Neutral
"Yadav ji...Railways and many PSU's have donated to #PMCaresFund and being citizen of India, we are equal partners of that fund. So hisab to banta hai",Neutral
kuch bolne se phle soch liya kro ke ye h kon march me bni id h ye,Neutral
Ghar par bache parents sab hai isliye ro rahe hai,Happy
Bhaiii bhtt aalaw! Keep it up! Pin my comment plzz!,Happy
Waiting for new song Sheer vapass aa gya,Neutral
"brave soldiers embraced martyrdom, no even gave a damn. On the other hand, jawan dies in India, and the whole nation is on fire. Why? In politics there are winners and losers. When army intervenes in politics, the losers are bound to see the army in a negative light",Neutral
Guru ka gana tha isiliye accha Laga..like if you agree,Neutral
I want to sale my mobile /10 condition WhatsApp me agr apko buy krna hai to nmbr hai mera,Neutral
plz kabi online ayy we want to see u,Neutral
ye ab jagah chukka h.. tiger singer......,Happy
To apny us baap showbaz ko b ly k ao assembly Bkwas krwa lo bs,Anger
Mere pas orignal S7 edge hy Dual SIM ..Full Saman k sat ... mujy nova i ya A6 k sat exchange karna hy agr koi s7 edge chahta hy to rabta kary My Contact number Bannu,Neutral
per kg mil raha ha,Neutral
View block ho gye,Neutral
Bhatti champion trophy bhul jayo. Need move on . Winning test match most important than icc trophy,Neutral
jis jis ko ye song Accha lga like karke btao or Chennal ko subscribe kre plz,Happy
Every argument at my home results in &quotani ki botley nai Bhari isney&quot; or &quothone tod dengey tera&quot;..,Neutral
Rap start hoty hi song is going omg,Happy
Aa gaya baap aabh Maza aayega saare phuddu rappers make way for ur dad,Happy
Lockdown m ease hty he awam bazaron m phnch gye h ... bai zinda rhogy to eid pe naya kpry phno gy na Ajeeb awam hai.. SOP follow hi e na jye khn... Jahalat se bari bemari koi ni #Covid_9,Anger
"lockdown me electricity bill maff to door ki bat hai pspck k bill same date k hai may ke but due date may alag-alag ku? Bill no. Was &amp; , no one come for reading then how you assume reading more than ? Please correct it",Neutral
LCD repair howa set sale krna ha final. .Rawalpindi. Islamabad.,Neutral
lyrics kaha h bc ?,Anger
Trending me km se km din rhega,Neutral
Reality tv bhai. Yeah waqiya Hyderabad Deccan ka waqiya Mahboob Ali khan Nizam th ka hai if u want I can send you all details pic like maafi namaa wagera,Neutral
"logo ke pass khaney ko nhi hai aur tum ko mobile ki pardi hai, sharam se doob maro aaj tak walo",Anger
"Assalamualaikum! I have Q Mobile Evok Power ( Golden Colour) In a very good condition!! With months warranty. only serious people may contact , (Multan and Around)",Neutral
Hum aitdaal walay log faiday main rehty hen aur donon extremes ki lety hen,Neutral
get well soon bro. Allah pak ap ko shifa de jeetay rahen. we love ur videos,Happy
sir aap to safeer they kashmir k.... Corona sy marna k nai pakistan zillat sy marr jayn gy. Chand liberal jo jung sy darty un k lia jung sy bagty ho ap bhi. Jihad faraz hy. Ap kia mun dikhao gy Allah ko,Anger
